frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
357,149.0,"[757.2733890705751, 851.4613598853913, 1082.9346535229408, 1430.2745868727657]","[864.4407348632812, 1031.515625, 1012.3632202148438, 1128.145263671875]","59-V3
305.99"
357,174.0,"[29.169781058098607, 592.1055954848006, 264.3627616426545, 930.8451858275179]","[35.39924240112305, 723.6260986328125, 108.12860107421875, 777.88525390625]","59-D7
2857"
358,149.0,"[754.7526600234148, 834.0738448481194, 1081.463870276094, 1414.0182492197432]","[863.2752685546875, 1023.5473022460938, 1008.17724609375, 1120.811767578125]","59-V3
305.99"
359,149.0,"[752.9752038175568, 826.7713941022469, 1080.7922477738114, 1405.897329817117]","[860.6121826171875, 1021.4848022460938, 1000.8482666015625, 1115.3287353515625]","59-V3
305.99"
359,174.0,"[54.18629894407594, 596.1171408388676, 291.24569809717696, 923.0030038836641]","[63.78900146484375, 724.1530151367188, 141.2141876220703, 774.1322021484375]","59-Y3
7285"
360,149.0,"[753.6290593275171, 808.356794646274, 1081.4505097972974, 1395.4557080226823]","[849.8994140625, 1019.7626953125, 993.19775390625, 1113.3519287109375]","59-V3
305.99"
361,149.0,"[751.040962354807, 805.5663350080797, 1079.4418022230802, 1392.3237229402932]","[842.4931640625, 1016.0303955078125, 983.962646484375, 1109.5439453125]","59-V3
305.99"
361,174.0,"[72.47295240233521, 605.957654593279, 301.5080311776246, 921.9336955190091]","[82.25917053222656, 726.706787109375, 153.8258514404297, 782.2369995117188]","59-X3
728.57"
362,149.0,"[745.320237530274, 811.6106798915902, 1075.6381066380306, 1389.46867253745]","[838.4119262695312, 1005.9765625, 978.6040649414062, 1100.6968994140625]","59-V3
305.99"
362,174.0,"[82.97267447973508, 609.6435597655186, 308.32305371135385, 916.906556455788]","[92.43804931640625, 722.406005859375, 165.76092529296875, 772.8424072265625]","59-D7
2857"
363,149.0,"[739.9225607138164, 801.5986367021071, 1075.5850677738456, 1380.628425350628]","[830.6947631835938, 1005.4193115234375, 971.0714721679688, 1097.5440673828125]","59-V3
305.99"
363,174.0,"[94.05930835938815, 606.2048618519516, 316.7737322714107, 912.1588324315119]","[103.97371673583984, 725.1514892578125, 170.73463439941406, 773.6165771484375]","59-D7
2857"
364,149.0,"[733.2544013698339, 803.2413627717922, 1074.498991804451, 1375.585493461543]","[824.478515625, 998.296142578125, 962.244873046875, 1087.651611328125]","59-V3
305.99"
364,174.0,"[105.80661673511518, 604.3388461496429, 323.8059977522514, 908.5246844045828]","[108.30912780761719, 724.5848388671875, 183.64013671875, 772.5609130859375]","59-D7
2851"
365,149.0,"[726.6372980546411, 796.6984505821428, 1068.8267090514557, 1365.9365901709475]","[817.2119750976562, 992.8156127929688, 952.0761108398438, 1083.436767578125]","59-V3
305.99"
365,174.0,"[112.99771959267366, 606.1733997359079, 328.2086778334827, 905.5311931311803]","[118.56159210205078, 721.669189453125, 190.07781982421875, 767.10546875]","59-D7
2857"
366,149.0,"[720.0514589289733, 788.5488079521506, 1064.028970967237, 1355.9106556130268]","[808.4443359375, 987.7146606445312, 943.0565185546875, 1076.552978515625]","59-V3
305.99"
366,174.0,"[119.23077452239555, 608.4207590185558, 331.25915570876367, 901.9349717942018]","[122.46310424804688, 718.9110717773438, 194.1313934326172, 763.2784423828125]","59-D7
2857"
367,149.0,"[712.3283956109875, 790.8002870303662, 1055.6802728732134, 1351.3621706022032]","[802.8924560546875, 981.2977294921875, 936.5367431640625, 1068.930908203125]","59-V3
305.99"
367,174.0,"[125.6774216316713, 610.5600407845058, 334.3235715088036, 898.8222003586048]","[130.25265502929688, 719.3118896484375, 203.57833862304688, 763.6715698242188]","9Y-D7
285.71"
368,149.0,"[702.4402978095518, 796.8418997178733, 1046.149846450201, 1348.5446326941333]","[792.2660522460938, 982.614013671875, 924.3477172851562, 1067.4764404296875]","59-V3
305.99"
368,174.0,"[132.42471771725093, 613.0698856607493, 338.3590571783373, 896.5537903852754]","[137.54100036621094, 720.074951171875, 214.0177459716797, 764.7880249023438]","59-Y3
728.57"
369,149.0,"[692.3315461638963, 794.7556322663315, 1036.2465434112974, 1342.6847034704463]","[784.93505859375, 975.8084716796875, 915.9869384765625, 1061.8739013671875]","59-V3
305.99"
369,174.0,"[139.54789294695442, 614.937771281326, 342.6164982375408, 894.8362001093057]","[143.44183349609375, 722.1290283203125, 215.1734161376953, 763.753662109375]","59-Y3
728.57"
370,149.0,"[678.6490551244021, 795.8360524486617, 1024.3882060123703, 1338.1183419065223]","[773.3963012695312, 970.9061279296875, 904.7089233398438, 1058.3280029296875]","59-V3
305.99"
370,174.0,"[143.83949560965073, 615.8035822987546, 342.9378905452805, 891.0896642664919]","[149.51641845703125, 721.3912353515625, 217.95350646972656, 760.2723999023438]","59-Y3
728.57"
371,149.0,"[667.8323498671714, 791.8197547483294, 1018.408774264864, 1328.6772027703144]","[770.2051391601562, 964.892578125, 897.8607788085938, 1050.8115234375]","59-V3
305.99"
372,149.0,"[663.7127902942402, 784.0215840707867, 1017.7644634206067, 1318.356824398025]","[763.0325317382812, 961.4390258789062, 891.3299560546875, 1046.373291015625]","59-V3
305.99"
373,149.0,"[655.7243058619284, 787.9037818616866, 1004.7945330233457, 1313.987032664014]","[754.5437622070312, 957.2640380859375, 881.4981079101562, 1042.1026611328125]","59-V3
305.99"
374,149.0,"[653.499435207565, 780.0690063565382, 993.4915670888645, 1305.386051453114]","[743.5307006835938, 952.7469482421875, 872.6493530273438, 1039.479736328125]","59-V3
305.99"
375,149.0,"[651.8451379350515, 782.8896951938119, 984.2704276837987, 1301.1646942766324]","[736.847900390625, 948.9088134765625, 866.5962524414062, 1035.2271728515625]","59-V3
305.99"
376,149.0,"[650.2678658286422, 785.365856386619, 974.2253453851849, 1298.2004641675228]","[731.51025390625, 948.676025390625, 862.654296875, 1035.2984619140625]","59-V3
305.99"
377,149.0,"[646.5230940176457, 793.7881321277653, 966.9857072996149, 1296.8894411383415]","[723.3653564453125, 944.6761474609375, 854.34619140625, 1031.976806640625]","59-V3
3059"
403,149.0,"[646.5752110213552, 709.4861966388538, 920.114616158937, 1130.0576221829722]","[716.68701171875, 832.7913208007812, 827.024169921875, 906.3070678710938]","59-V3
305.99"
404,149.0,"[652.739620958695, 708.3547616578829, 921.5836077342849, 1125.6917298011854]","[717.51904296875, 828.587158203125, 827.472412109375, 900.074951171875]","59-V3
305.99"
405,149.0,"[653.8015657196431, 704.9557753759199, 922.5653435837185, 1117.581540515266]","[719.2952270507812, 823.9150390625, 826.4895629882812, 892.18017578125]","59-V3
305.99"
406,149.0,"[657.7298492073058, 700.6412853612671, 925.5082041541535, 1111.9761662894443]","[721.4638671875, 825.2574462890625, 828.536376953125, 892.1466064453125]","59-V3
305.99"
407,149.0,"[661.6179518325257, 695.568292471408, 926.8403831115168, 1104.7389011267708]","[723.236328125, 816.7891845703125, 831.0506591796875, 885.1314697265625]","59-V3
305.99"
408,149.0,"[660.9383977063229, 694.8586392458928, 923.1662299043736, 1101.3580759773754]","[720.724609375, 815.9798583984375, 828.2425537109375, 882.3673095703125]","59-V3
305.99"
408,174.0,"[460.0873816710792, 517.5842883834018, 593.7128519730873, 729.3654992172512]","[480.1952819824219, 604.781494140625, 527.9957275390625, 635.4658203125]","59-B7
2851"
409,149.0,"[655.5438654760621, 696.2406544729762, 915.8100575449619, 1099.6172785884169]","[717.930908203125, 818.5475463867188, 825.2735595703125, 884.5684204101562]","59-V3
305.99"
409,174.0,"[464.03544014678624, 523.1267762247965, 597.9919757353829, 731.7384875093926]","[483.879150390625, 608.450927734375, 531.748046875, 638.0633544921875]","59-Y3
728.51"
410,149.0,"[657.0404107268624, 695.4595822050244, 914.8993798750192, 1096.4554543882045]","[720.0418701171875, 815.9827880859375, 826.6737670898438, 880.6124267578125]","59-V3
305.99"
